complaint_id,date,product,complaint_type,taste_score,resolved,resolution_days,delivery_time,source_channel,complaint_severity,customer_rating_after_resolution
CMP000001,2025-02-09,Milk,Late Delivery,4.0,Yes,3.0,6.8,Low,Medium,4.1
CMP000002,2024-12-11,Lassi,Packaging Issue,1.1,Yes,3.0,8.7,Medium,Low,4.4
CMP000003,2025-01-07,Lassi,Packaging Issue,1.9,No,,20.2,Low,Medium,
CMP000004,2025-02-01,Ghee,Bad Smell,2.1,Yes,5.0,6.0,Low,Low,3.7
CMP000005,2025-07-10,Curd,Late Delivery,3.9,Yes,6.0,5.6,Low,Medium,4.8
CMP000006,2024-08-27,Curd,Taste Issue,1.8,Yes,0.0,17.2,Medium,High,4.7
CMP000007,2025-02-03,Milk,Packaging Issue,2.1,No,,7.3,Low,Medium,
CMP000008,2024-11-19,Milk,Taste Issue,3.5,Yes,2.0,13.2,Low,High,4.4
CMP000009,2025-01-23,Paneer,Bad Smell,4.4,Yes,3.0,20.4,Medium,Low,3.1
CMP000010,2024-10-07,Lassi,Bad Smell,1.9,No,,11.9,High,Low,
CMP000011,2025-03-08,Curd,Spoiled Products,2.0,No,,18.9,Low,Low,
CMP000012,2025-01-11,Curd,Spoiled Products,5.0,Yes,7.0,5.8,Low,Low,4.3
CMP000013,2024-10-03,Ghee,Taste Issue,1.3,No,,15.9,Low,Low,
CMP000014,2025-05-30,Lassi,Late Delivery,3.7,Yes,4.0,19.4,Low,Low,3.3
CMP000015,2025-05-31,Milk,Bad Smell,4.9,Yes,1.0,21.4,Low,Medium,4.2
CMP000016,2024-11-11,Paneer,Bad Smell,4.1,Yes,5.0,13.8,Low,Low,5.0
CMP000017,2025-07-26,Curd,Spoiled Products,1.2,Yes,1.0,18.6,Medium,High,4.1
CMP000018,2025-06-08,Paneer,Spoiled Products,3.6,Yes,4.0,14.6,Medium,High,4.9
CMP000019,2024-12-28,Paneer,Bad Smell,2.6,No,,12.8,Low,Low,
CMP000020,2025-03-21,Paneer,Late Delivery,2.4,Yes,3.0,4.1,Medium,Low,3.1
CMP000021,2025-05-05,Milk,Bad Smell,1.3,Yes,4.0,17.4,Low,Low,4.9
CMP000022,2025-06-22,Lassi,Taste Issue,2.9,No,,20.1,Low,Low,
CMP000023,2024-10-21,Ghee,Bad Smell,2.7,No,,21.3,Low,Medium,
CMP000024,2025-05-27,Milk,Late Delivery,2.6,No,,20.0,Low,Low,
CMP000025,2025-07-23,Lassi,Packaging Issue,1.6,Yes,4.0,13.3,Medium,Low,4.6
CMP000026,2025-04-28,Lassi,Late Delivery,1.2,Yes,1.0,22.5,Medium,Low,4.0
CMP000027,2025-06-16,Paneer,Packaging Issue,4.6,Yes,6.0,4.0,Low,High,4.6
CMP000028,2025-02-12,Curd,Packaging Issue,3.8,No,,7.1,Low,High,
CMP000029,2024-09-04,Lassi,Taste Issue,1.2,No,,5.1,Low,Low,
CMP000030,2024-09-02,Lassi,Spoiled Products,1.2,Yes,2.0,5.4,Low,Medium,3.8
CMP000031,2024-09-30,Lassi,Spoiled Products,3.3,Yes,1.0,12.4,Low,Low,4.9
CMP000032,2025-05-01,Paneer,Bad Smell,2.0,No,,6.6,Medium,Low,
CMP000033,2024-11-27,Milk,Late Delivery,2.8,Yes,1.0,14.8,Low,Low,3.7
CMP000034,2025-08-01,Milk,Spoiled Products,2.5,Yes,7.0,20.7,Medium,Medium,5.0
CMP000035,2025-03-22,Lassi,Late Delivery,3.7,No,,22.6,Low,Medium,
CMP000036,2024-11-11,Curd,Late Delivery,4.6,Yes,4.0,9.6,Low,Low,4.4
CMP000037,2025-04-17,Curd,Taste Issue,3.0,Yes,1.0,16.7,Medium,Low,3.7
CMP000038,2024-12-27,Paneer,Bad Smell,1.6,No,,15.0,Low,Low,
CMP000039,2025-01-23,Milk,Spoiled Products,3.2,No,,15.7,Low,Low,
CMP000040,2024-09-19,Curd,Bad Smell,4.6,Yes,5.0,8.2,Low,Low,4.6
CMP000041,2024-09-13,Ghee,Taste Issue,4.0,Yes,2.0,23.5,Medium,Medium,3.0
CMP000042,2024-09-06,Curd,Packaging Issue,4.2,Yes,4.0,7.2,Medium,Low,3.1
CMP000043,2024-12-12,Ghee,Spoiled Products,1.8,No,,11.0,Medium,Medium,
CMP000044,2025-05-15,Paneer,Late Delivery,3.6,No,,10.6,Medium,High,
CMP000045,2025-03-22,Curd,Bad Smell,3.6,No,,17.6,Medium,Low,
CMP000046,2024-09-18,Milk,Late Delivery,4.5,No,,7.6,High,Low,
CMP000047,2025-06-12,Milk,Taste Issue,2.7,No,,12.7,High,Low,
CMP000048,2025-05-19,Lassi,Spoiled Products,2.0,No,,4.0,High,Low,
CMP000049,2024-09-07,Paneer,Bad Smell,2.7,No,,16.5,Medium,Low,
CMP000050,2025-05-04,Curd,Taste Issue,2.2,No,,10.5,Medium,Low,
CMP000051,2025-04-16,Paneer,Packaging Issue,3.7,No,,17.5,High,Medium,
CMP000052,2024-10-03,Curd,Packaging Issue,3.2,Yes,4.0,9.7,Low,Low,4.3
CMP000053,2025-01-18,Ghee,Packaging Issue,2.8,Yes,7.0,19.9,High,Medium,4.3
CMP000054,2025-03-23,Curd,Taste Issue,3.7,No,,5.9,High,Low,
CMP000055,2024-10-16,Curd,Spoiled Products,4.2,Yes,0.0,4.9,High,Medium,4.5
CMP000056,2025-01-26,Ghee,Packaging Issue,4.5,Yes,6.0,13.9,Low,Medium,3.0
CMP000057,2025-06-20,Milk,Packaging Issue,1.9,No,,5.0,Low,Medium,
CMP000058,2024-10-22,Ghee,Spoiled Products,4.2,No,,23.0,Medium,Medium,
CMP000059,2025-01-21,Lassi,Packaging Issue,4.3,No,,21.9,Medium,Low,
CMP000060,2024-08-08,Curd,Spoiled Products,4.4,No,,19.3,Low,Medium,
CMP000061,2025-07-19,Curd,Packaging Issue,1.3,No,,8.7,Low,Medium,
CMP000062,2025-04-28,Milk,Spoiled Products,1.6,No,,17.9,Medium,Low,
CMP000063,2025-06-24,Ghee,Bad Smell,3.2,No,,5.2,Medium,Low,
CMP000064,2025-07-02,Lassi,Late Delivery,4.4,No,,13.5,High,Low,
CMP000065,2024-09-20,Ghee,Packaging Issue,3.2,Yes,7.0,8.4,Low,Low,3.7
CMP000066,2024-11-26,Ghee,Spoiled Products,4.4,Yes,0.0,22.1,Low,Medium,3.2
CMP000067,2024-09-20,Ghee,Spoiled Products,4.5,Yes,0.0,9.2,Low,Low,3.7
CMP000068,2025-03-31,Ghee,Bad Smell,4.0,No,,9.0,Low,Low,
CMP000069,2025-04-17,Lassi,Late Delivery,5.0,No,,8.5,Low,High,
CMP000070,2024-09-08,Milk,Late Delivery,4.8,Yes,0.0,16.4,Low,Low,3.2
CMP000071,2024-10-05,Paneer,Packaging Issue,3.8,No,,7.4,Medium,Medium,
CMP000072,2025-01-15,Milk,Spoiled Products,4.9,Yes,0.0,22.6,Low,High,3.8
CMP000073,2025-05-22,Paneer,Late Delivery,3.4,Yes,1.0,17.9,Low,Medium,4.6
CMP000074,2025-02-14,Lassi,Late Delivery,2.4,No,,17.2,Low,Medium,
CMP000075,2024-09-15,Milk,Packaging Issue,4.3,Yes,6.0,23.2,Medium,Medium,4.4
CMP000076,2024-09-26,Ghee,Spoiled Products,3.9,No,,16.3,High,Medium,
CMP000077,2025-01-27,Ghee,Packaging Issue,4.3,No,,10.4,Low,High,
CMP000078,2025-01-11,Curd,Packaging Issue,2.0,No,,15.4,Medium,Low,
CMP000079,2025-07-15,Ghee,Bad Smell,1.7,Yes,5.0,20.0,Low,Medium,4.4
CMP000080,2024-10-20,Curd,Taste Issue,1.0,Yes,1.0,8.8,Low,Low,3.5
CMP000081,2024-09-21,Ghee,Packaging Issue,2.8,Yes,1.0,9.9,Low,Low,4.3
CMP000082,2025-01-28,Curd,Packaging Issue,3.2,No,,12.5,Medium,Low,
CMP000083,2025-01-15,Ghee,Bad Smell,2.2,Yes,1.0,18.4,Low,Medium,4.9
CMP000084,2024-08-28,Paneer,Spoiled Products,1.9,No,,9.5,Low,Medium,
CMP000085,2025-02-28,Lassi,Bad Smell,4.9,Yes,4.0,8.5,Low,Low,4.1
CMP000086,2024-11-17,Curd,Late Delivery,4.9,No,,17.9,Low,Medium,
CMP000087,2024-12-11,Ghee,Late Delivery,4.5,No,,13.4,Low,Low,
CMP000088,2025-06-02,Milk,Bad Smell,4.8,No,,6.3,Low,Low,
CMP000089,2025-06-06,Lassi,Late Delivery,1.6,No,,5.7,Low,Low,
CMP000090,2024-08-24,Ghee,Taste Issue,3.4,Yes,6.0,13.0,Low,Medium,5.0
CMP000091,2024-12-13,Curd,Taste Issue,3.5,Yes,3.0,16.5,Low,Low,3.5
CMP000092,2024-12-28,Lassi,Late Delivery,1.6,No,,13.0,Low,Low,
CMP000093,2025-05-14,Paneer,Bad Smell,3.8,No,,5.4,Low,Low,
CMP000094,2025-04-25,Lassi,Spoiled Products,2.7,Yes,2.0,22.2,Medium,Low,3.3
CMP000095,2024-08-09,Curd,Taste Issue,4.0,No,,12.8,Low,Low,
CMP000096,2025-03-01,Ghee,Bad Smell,3.0,No,,12.8,Low,Medium,
CMP000097,2025-07-06,Curd,Taste Issue,2.0,Yes,3.0,23.2,Medium,Low,4.9
CMP000098,2025-05-05,Curd,Taste Issue,1.2,Yes,7.0,14.4,Low,Low,5.0
CMP000099,2025-01-06,Ghee,Packaging Issue,4.9,No,,11.0,Low,Medium,
CMP000100,2025-04-26,Paneer,Bad Smell,2.6,No,,9.8,High,Medium,
CMP000101,2025-07-24,Lassi,Late Delivery,2.8,No,,9.0,Low,Medium,
CMP000102,2024-11-19,Lassi,Late Delivery,3.6,No,,12.3,Low,Low,
CMP000103,2025-06-29,Ghee,Packaging Issue,4.0,Yes,4.0,15.0,High,Low,4.4
CMP000104,2024-10-10,Milk,Late Delivery,4.9,Yes,2.0,10.2,Low,Low,3.4
CMP000105,2025-02-12,Milk,Packaging Issue,4.8,Yes,7.0,22.7,Low,Medium,3.8
CMP000106,2025-04-29,Ghee,Packaging Issue,2.0,Yes,6.0,7.8,Low,Medium,3.3
CMP000107,2025-03-16,Milk,Bad Smell,4.1,No,,10.8,Medium,Low,
CMP000108,2025-03-22,Milk,Bad Smell,3.9,No,,21.3,Low,Low,
CMP000109,2025-03-05,Curd,Taste Issue,4.1,No,,13.1,Low,Low,
CMP000110,2024-09-10,Paneer,Taste Issue,2.5,No,,4.9,Medium,Medium,
CMP000111,2025-05-06,Ghee,Packaging Issue,5.0,Yes,7.0,23.3,Low,High,3.7
CMP000112,2024-10-26,Milk,Packaging Issue,1.4,No,,4.3,Low,Medium,
CMP000113,2025-07-22,Paneer,Late Delivery,2.9,No,,10.8,Medium,Medium,
CMP000114,2025-06-24,Curd,Taste Issue,2.5,No,,16.5,Medium,Low,
CMP000115,2024-11-10,Lassi,Late Delivery,3.5,Yes,4.0,23.9,Medium,Low,3.2
CMP000116,2025-03-05,Milk,Packaging Issue,1.7,No,,22.1,Low,Medium,
