batch_id,date,product,region,units_checked,defect,adulteration_fail,hygiene_fail,supplier_name,delivery_hours,cold_chain_breach,fat_percentage,snf_percentage,batch_temp,test_lab_name
BTCH000001,2024-04-13,Curd,Chennai,121,3,2.6,1.83,Milko Pure,16.0,Yes,3.91,9.49,4.9,NABL Lab A
BTCH000002,2024-01-20,Curd,Chennai,81,1,1.14,1.96,Creamy Way,10.3,Yes,4.19,8.35,6.7,NABL Lab A
BTCH000003,2024-07-23,Paneer,Delhi,105,1,0.89,0.35,Farm Roots,7.9,No,3.39,9.39,3.9,NABL Lab A
BTCH000004,2024-05-08,Lassi,Delhi,94,3,0.61,1.22,Green Valley,18.8,No,4.38,8.44,4.5,NABL Lab A
BTCH000005,2024-07-27,Curd,Mumbai,84,3,0.21,1.11,Creamy Way,22.6,Yes,3.68,8.28,3.0,NABL Lab C
BTCH000006,2024-07-09,Curd,Pune,100,2,2.08,1.44,Creamy Way,13.1,Yes,4.29,9.17,6.5,NABL Lab A
BTCH000007,2024-07-26,Milk,Bangalore,120,4,2.45,0.86,Dairy Fresh,12.7,No,3.99,8.78,4.2,NABL Lab B
BTCH000008,2024-07-25,Ghee,Bangalore,88,3,0.52,1.78,Creamy Way,16.4,Yes,3.84,8.29,4.8,NABL Lab C
BTCH000009,2024-06-17,Lassi,Chennai,93,5,2.24,0.27,Green Valley,15.6,No,4.43,9.41,6.8,NABL Lab A
BTCH000010,2024-08-08,Paneer,Chennai,82,5,1.44,0.94,Dairy Fresh,13.5,No,4.24,9.39,3.3,NABL Lab C
BTCH000011,2024-06-30,Paneer,Delhi,107,4,1.98,1.49,Creamy Way,23.6,Yes,3.66,8.73,3.4,NABL Lab B
BTCH000012,2024-02-12,Ghee,Pune,105,4,1.03,0.88,Milko Pure,13.0,No,4.02,9.09,6.1,NABL Lab B
BTCH000013,2024-05-29,Lassi,Pune,149,1,0.43,0.97,Dairy Fresh,5.0,No,4.01,8.75,3.5,NABL Lab A
BTCH000014,2024-05-28,Curd,Mumbai,117,0,1.17,0.92,Farm Roots,12.2,No,4.2,9.33,6.9,NABL Lab A
BTCH000015,2024-10-29,Paneer,Bangalore,149,2,0.08,0.77,Green Valley,16.5,No,3.87,8.24,6.8,NABL Lab C
BTCH000016,2024-11-25,Curd,Delhi,116,2,0.4,1.88,Green Valley,20.4,No,3.38,8.33,4.1,NABL Lab B
BTCH000017,2024-10-16,Ghee,Chennai,112,4,1.97,0.39,Green Valley,16.8,No,4.09,8.41,4.0,NABL Lab C
BTCH000018,2024-05-04,Lassi,Pune,101,2,1.32,0.08,Green Valley,10.7,Yes,3.32,8.59,4.9,NABL Lab C
BTCH000019,2024-06-15,Ghee,Chennai,118,5,2.88,1.23,Milko Pure,22.3,Yes,3.99,8.75,5.8,NABL Lab C
BTCH000020,2024-06-27,Curd,Mumbai,116,0,1.21,0.92,Green Valley,22.1,No,4.31,9.16,4.6,NABL Lab B
BTCH000021,2024-07-21,Ghee,Bangalore,98,1,1.05,1.18,Farm Roots,6.2,Yes,4.46,9.4,3.9,NABL Lab A
BTCH000022,2024-05-16,Milk,Delhi,91,0,2.96,0.12,Creamy Way,10.0,Yes,3.43,8.99,5.5,NABL Lab A
BTCH000023,2024-09-05,Milk,Bangalore,116,0,2.09,1.6,Farm Roots,8.7,No,3.86,8.42,4.9,NABL Lab B
BTCH000024,2024-04-27,Curd,Delhi,129,2,0.4,1.7,Farm Roots,4.4,Yes,3.92,8.73,4.8,NABL Lab B
