return_id,return_date,product,return_units,return_reason,reason_category,delivery_delay_hours,product_batch_id,resolved_by_team
RTN000001,2024-10-10,Milk,1,Damaged Packaging,Packaging,2.4,BTCH018290,Quality Control
RTN000002,2025-02-13,Milk,9,Spoiled,Quality,5.9,BTCH004166,Logistics
RTN000003,2024-09-15,Milk,4,Late Delivery,Delivery,5.1,BTCH003479,Quality Control
RTN000004,2025-03-31,Paneer,9,Wrong Product,Operations,2.2,BTCH077237,Customer Care
RTN000005,2024-11-13,Milk,3,Wrong Product,Operations,3.4,BTCH020380,Logistics
RTN000006,2025-02-27,Curd,2,Spoiled,Quality,3.8,BTCH047053,Customer Care
RTN000007,2025-03-15,Lassi,5,Spoiled,Quality,7.3,BTCH070285,Logistics
RTN000008,2025-06-19,Ghee,2,Taste Issue,Quality,2.9,BTCH082398,Quality Control
RTN000009,2024-11-24,Curd,10,Late Delivery,Delivery,7.0,BTCH006007,Quality Control
RTN000010,2025-05-16,Paneer,5,Spoiled,Quality,8.6,BTCH013239,Customer Care
RTN000011,2025-04-05,Curd,8,Damaged Packaging,Packaging,1.6,BTCH046567,Logistics
RTN000012,2025-02-11,Curd,2,Taste Issue,Quality,6.3,BTCH070011,Quality Control
RTN000013,2025-02-25,Paneer,3,Wrong Product,Operations,3.8,BTCH083887,Quality Control
RTN000014,2025-06-12,Lassi,4,Damaged Packaging,Packaging,8.4,BTCH007332,Logistics
RTN000015,2024-10-02,Milk,6,Wrong Product,Operations,2.7,BTCH027654,Quality Control
RTN000016,2025-04-12,Curd,4,Wrong Product,Operations,4.0,BTCH084260,Customer Care
RTN000017,2024-12-31,Paneer,5,Late Delivery,Delivery,2.5,BTCH073580,Quality Control
RTN000018,2025-01-09,Curd,10,Wrong Product,Operations,9.0,BTCH052351,Customer Care
RTN000019,2024-09-12,Paneer,3,Taste Issue,Quality,4.9,BTCH099062,Logistics
RTN000020,2025-06-23,Milk,3,Late Delivery,Delivery,7.9,BTCH055334,Quality Control
RTN000021,2024-12-09,Milk,7,Wrong Product,Operations,6.0,BTCH061349,Quality Control
